epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3316844701766968,0.44092220067977905,1.2669649124145508
1,0.6487683653831482,0.9952162504196167,0.6685879230499268,0.9056035876274109
2,0.794353723526001,0.5762197375297546,0.7204610705375671,0.7442218661308289
3,0.8502629399299622,0.414145290851593,0.7262247800827026,0.7379193305969238
4,0.8879047632217407,0.3201400935649872,0.6974063515663147,0.7800436615943909
5,0.9141987562179565,0.2550128698348999,0.680115282535553,0.8480237126350403
6,0.9277608394622803,0.21390913426876068,0.6685879230499268,0.880359947681427
7,0.9427068829536438,0.17973870038986206,0.7031700015068054,0.9310613870620728
8,0.9510102272033691,0.15105263888835907,0.6945244669914246,1.0329066514968872
9,0.9582064747810364,0.13389568030834198,0.6887608170509338,1.0706939697265625
10,0.9654027223587036,0.11532828956842422,0.680115282535553,1.1703613996505737
11,0.9681705236434937,0.1028948426246643,0.6772334575653076,1.2018251419067383
12,0.9701079726219177,0.10230512171983719,0.680115282535553,1.2422759532928467
13,0.9701079726219177,0.0971105620265007,0.6858789920806885,1.3303848505020142
14,0.9731525182723999,0.09120239317417145,0.6743515729904175,1.340055227279663
15,0.9739828109741211,0.08620401471853256,0.6829971075057983,1.3752796649932861
16,0.974259614944458,0.08449426293373108,0.6685879230499268,1.3949742317199707
17,0.975643515586853,0.08328097313642502,0.6599423885345459,1.441985845565796
18,0.9773041605949402,0.07309729605913162,0.6657060384750366,1.442650318145752
19,0.9775809645652771,0.07041339576244354,0.6657060384750366,1.5240086317062378
20,0.9786880612373352,0.06747881323099136,0.6743515729904175,1.5046674013137817
21,0.9767506122589111,0.07262319326400757,0.6657060384750366,1.5431733131408691
22,0.9778577089309692,0.06811101734638214,0.6628242135047913,1.569571614265442
23,0.9775809645652771,0.06415682286024094,0.6772334575653076,1.5973654985427856
24,0.9786880612373352,0.06072203069925308,0.6657060384750366,1.5918718576431274
